2018 Jan 27 22:13:19  更新测试!
2012 Jan 02 16:47:04  《The Lady》下载好了，质量还是太差，等高清吧。
2012 Jan 02 16:17:42  @susu_law 注意是枪版。
2012 Jan 02 15:57:16  @逍遥居士：115和Rayfile现在上传很不给力，先放《The Lady》的迅雷快传吧。http://t.co/BH5v0B8z
2012 Jan 02 12:12:15  陆兴华：评12月18日章清上海香格纳监控展 http://t.co/CGEmPmxp
2012 Jan 02 11:49:11  潘金莲@ G+ ：福建最大造船厂罢工 工人堵路讨薪。福州冠海造船厂拖欠工人工资三个月，工人多次向公司讨薪无果。2012年1月2日上午，数百愤怒工人走出船厂拦截过往车辆，引起交通堵塞长达数小时。当局出动武警驱散工人，期间发生轻微冲突。
2012 Jan 02 11:47:39  @我是一采姑娘的小蘑菇：宁夏同心县桃山村新建成的清真寺被吴忠市武警等强行拆掉，村民的反抗却发生了命案，致使两人当场归主，其他人…这个清真寺是在河北唐山工作的金海涛的家人筹资所建，他希望国家能还他家及回族百姓公道，请联系金海涛qq 425173526，手机 15932552737
2012 Jan 02 11:12:09  1月1日，江西新余刀砍，河南安阳游行；1月2日，福建冠海造船厂大罢工。——维稳经费今年恐怕得翻番。
2012 Jan 02 08:41:09  经别人提醒，发现地址选海外依然可以注册，故再注册@vivo九十六世，主要做信息观察用，将减少发言。
2012 Jan 02 08:26:08  @pigdabig 嗯，我现在试了下，选海外就不要求实名，那就继续玩玩观察一段时间。
2012 Jan 02 08:16:19  @mina_feng 你重新注册就知道了，现在要求提供实名、证件号码，当然我的身份是明摆着的，我也不担心啥，更或者我也能伪造身份，不过最本质的是我拒绝实名制，干脆不再使用，微博上除了能看些突发新闻，对我来说也没啥价值。
2012 Jan 02 07:53:34  @ vivo九十五世 已经被封杀，又因为现在注册需实名，暂时不再使用新浪微博。
2012 Jan 02 06:46:27  面瘫胡明面上是警惕、反对国外敌对势力，潜台词则是加大对国内维权、煽颠的打击力度，不可不察。因为“国外敌对势力”窑洞党实际上是无可奈何的，甚至有时丧权辱国舔菊讨好，但专政体制在国内拥有绝对的掌控权，横行无忌，无法无天，他们靠诬陷国内反对力量为国外代理人、串联者（且整肃）来耀武扬威。
2012 Jan 02 03:13:01  备份：@杨海鹏在上海 你TMD滚出来答话。http://t.co/47qgxX9h
2011 Dec 30 06:49:16  @tengbiao @mozhixu 哈哈，我已经替他批判过了，我的措辞比他严厉毒辣得多。
2011 Dec 30 03:52:01  RT @mozhixu: 茉莉花，自由光诚，艾借钱，藏人自焚，乌坎，重判刘贤斌陈卫陈西，723动车事故，增城织里，郭美美，独立参选，这是俺眼中的2011年十大新闻
2011 Dec 29 08:00:58  @mozhixu 蜈支洲岛的水母螫人很厉害，临海的海水泳池也颇神奇，躺着不动不会下沉，漂啊漂。
2011 Dec 29 07:37:35  @cococyhair 艾胖是艺术家，自然高端，纯商业上说，根本不需要在意墙内普通人，国内大金主和国际市场才是重点。如果你熟悉后八九艺术，那些政治波普之类，就知道我这里提出的分析思路非常普通。胖子客观说还是颇有高度，可同样路线的下三滥艺术圈里比比皆是。
2011 Dec 29 07:30:01  @Liris0325 这我不熟悉。
2011 Dec 29 07:29:15  那些起劲吹捧韩寒或者起劲驳斥韩寒的这下都傻逼了，被人当猴耍，所以我一直就没加入，顺便调侃羞辱而已。韩寒、路金波此次炒作用力过猛，螳螂捕蝉，没料到黄雀在后，被环球时报利用了一把，这种耻辱/污点一辈子都难以洗刷，卖书赚来的钱远远没法补偿。
2011 Dec 29 07:18:54  微博黑艾、发布疑似五毛式言论都不允许：http://t.co/SVjznY8I
2011 Dec 29 00:54:27  艾胖与韩寒（毒舌哦，艾粉别受不了。）http://t.co/yTp7P7yY
2011 Dec 28 09:17:39  @mozhixu 八九的时候，拥护共产党的人肯定比现在多，几十万人上街，就差点令中共下不了台，20多年过去，一党独裁、警察国家、恐怖政治更不得人心，除了李鹏家族、江泽民家族、胡温、李长春、周永康等这些实质上的甲级罪犯，有谁愿意活在一个没有安全感，没有自由的变态国家？
2011 Dec 28 08:44:31  @mozhixu 政治场中博弈，实际上只需要考虑那些会拼死护盘的，一旦起事，除了作为军警的工具，怎么会有5、6000万人为共党卖命去阻拦大势，因此就像MC和我以前推算的，只要有几百万人愿意站出来，在广场街道上让军警无法逼退，其他人打打酱油，就有可能彻底翻盘。
2011 Dec 28 08:34:56  @mozhixu 石扉客也是大傻逼，没啥值得讨论。
2011 Dec 28 08:33:22  @mozhixu 韩寒这种文盲傻逼三篇博文里的荒唐错误之处比比皆是，浏览了一遍，我粗估有50-100个狙击点可以秒杀。
2011 Dec 28 08:28:16  @mozhixu 三亿人和十亿人这种计算完全错误，入了党只是门票，并不意味着你就是统治阶层的一员，会享受到特权与利益，底层党员照样私下把共党骂死，只是有这个身份，就不会公开表示反对。实质还是所谓的500家族跟13亿人民的对抗。
2011 Dec 28 06:15:45  @mranti 技术不过关，穷，落后就只能这样丢人，按理说这么重要的直播要有多套冗余备份，一套摄像机出问题马上换另一套，图像回来有些是在重播前面的画面，我们不过在这里说说，平壤事后问责可是要枪毙人。
2011 Dec 28 06:04:54  独裁者能早死、能趁政权没崩溃就死是一种幸运，不然齐奥塞斯库、卡扎菲那类下场实在不堪，金将军的败笔是没火化把骨灰抛入大海，因此不如奴才周和屠夫邓聪明。
2011 Dec 28 02:35:38  RT @mranti: 大家快来看金正日同志葬礼直播： bit.ly/vBOXCN
2011 Dec 28 01:24:33  @cococyhair 有黑名单功能，就是block。
2011 Dec 27 05:12:21  @mozhixu 啥叫极化思维，被咬一口动一动是最弱智的生物也会有的正常反应，可我们的公公认为它不合理不正当。
2011 Dec 27 03:30:00  @mozhixu 哈哈，你把的老友列一个名单，让“神目如电”的我鉴定下。我有些朋友，比如王晓渔、李华芳，他们的观点虽然常常平庸了些，甚至有点滑头懦弱，回避要害问题，可很少会像你的老友笑蜀、赵楚、肉唐僧、熊培云那么二。
2011 Dec 27 01:27:36  @mozhixu 我认为也不是他们傻，而是束手无策，得要多大的财力才能把所有人民都监禁起来确保无虞？那就得走北朝鲜那种先军路线，可这实在不可取，于是收拾一些活跃分子敷衍塞责，同时杀鸡骇猴。最基本的还是官民利益争夺引起的对抗，积怨既深，而群众也越来越不耐烦。
2011 Dec 27 01:11:22  @mozhixu 没用的，如果真正引爆广场狂欢，坦克飞机都不是大杀器。茉莉花条款主要用来治那些维权、反对的领头羊，可古巷、新塘、海宁、织里、乌坎、海门的农民工、村民、工人、市民，谁认识谁知道这群异议知识分子？
2011 Dec 27 01:02:31  @niweicumt 这些人的成分比较复杂，不过总体上来说是舔菊派，国家主义者，如今连陈嘉映、赵汀阳都这么堕落了，跟这些下流货混在一起。
2011 Dec 26 22:38:28  他们这些口口声声非暴力、不流血、反对“革命”的人才是真正的暴力和嗜血，那就是坐视暴政当局天天祸害人民，屠杀群众，各种公权施暴，无尽的血泪，而自己袖手旁观，无可奈何，无病呻吟。
2011 Dec 26 22:37:59  如果真的追求非暴力，不愿意看到太多无辜者的鲜血，那赶紧趁现在没崩盘，做坚决而又理性温和的政治异议者、反对者来对当局施压，迫其改革，像阿波、盲人、陈卫那样，以身作则，自己当领袖以引导、规范“群氓”，可惜的是，这些sb谁也办不到，就知道做肉猪放臭屁。
2011 Dec 26 22:08:58  @mozhixu 于建嵘虽然是人渣，可精明程度显然要高过黎学文这种平庸之辈。
2011 Dec 26 22:07:01  甘阳《文明·国家·大学》新书发布暨研讨会 http://t.co/nno7CuD5 ——阵容豪华，一群傻逼。
2011 Dec 26 08:50:44  @mozhixu 实际上这是好现象，是反向指标，局势之危殆逼得很多隐藏很深的改良论者纷纷跳出来护盘，连人民日报也不得不胡言乱语一番来配合，是他们在焦虑，而不是激进革命派没市场，陈卫陈西重判也可以如此看待。
2011 Dec 26 08:35:19  @mozhixu 我都懒得批驳，令我有点意外的是傻逼比我粗估的似乎要多些，不过无所谓，社会运动、反对政治中他们都是惶恐不安地看戏的，最后被风暴席卷收割。
2011 Dec 26 08:23:29  @mozhixu 哈哈，瞧这出息，在傻逼面前独孤求败？
2011 Dec 26 07:36:33  @gexun 没问题啊，具不具名皆可。
2011 Dec 26 06:47:44  @mozhixu 艾胖这里就比你聪明，你所谓的山哥一直就是个糊涂蛋。
2011 Dec 26 00:24:38  @mozhixu 麦田这次倒说对了，是骡子是马拉到微博上遛几圈，以对话的逻辑即兴回应别人的话，马上让一个人的智力、写作水平现形。
2011 Dec 26 00:19:25  @mozhixu 我自己没具体注意过，有班子在策划选题（比如谈什么内容）、把握尺度那是无疑，至于一些低级段子，是自己平时收集还是别人供料，先自己写别人修改补充，还是在别人作品的基础上添加删除，尚且难以估计。
2011 Dec 26 00:08:02  @mozhixu 我正好是文本学家，不过对这些不感兴趣。
2011 Dec 25 06:57:02  vivo微博骂人5个月（0801-1225）10万字口水汇集：http://t.co/RwrdQwik
2011 Dec 25 06:31:14  RT @xaowaojanhu: 韩寒这两篇文章最大的作用，不是引发了大规模的争论，而是将一些整天把“民主、自由”挂在嘴边的文人打回了真身。在党妈赎买政策利诱下，这些人如今家里多少也有几个坛坛罐罐了。为自身计，回归“保守主义”也能理解。但千万别堕落成“反动主义”。
2011 Dec 25 01:24:09  @badiucao 我没什么特别的资料，就看微博和中外网络新闻。
2011 Dec 25 00:53:06  无聊去搜了下微博加V人士论韩寒，吓了我一跳，真正素质低的人原来全在这里。
2011 Dec 24 15:57:33  如何评价乌坎当前未结束的结局（失败、胜利，或者只是缓兵之计，不进不退在拖），如何看待韩寒两篇文章，是这几天鉴别一个人智力的绝佳试剂，照妖镜，又一大批公公露出没有鸡鸡的裤裆和丑陋的红色猴屁股。
2011 Dec 24 05:17:53  @mozhixu 哈哈，谢谢推荐，那我就搭顺风车再次王婆卖瓜：分裂的世界——MC、vivo微博13篇  https://t.co/zC0HywYK
2011 Dec 24 05:17:53  @mozhixu 哈哈，谢谢推荐，那我就搭顺风车再次王婆卖瓜：分裂的世界——MC、vivo微博13篇  https://t.co/zC0HywYK
2011 Dec 24 02:14:48  @mahavivo @mozhixu 而即使推广真理/知识，在我们这个信息过剩的年代也sb（如果不能首先准确估量别人/读者的阅读范围与程度的话），大路化的学问/知识遍地都是，随手可及，要感兴趣的话早就找来读了，我不懂、不了解，只因为我不想懂，不愿了解。
2011 Dec 24 01:55:39  @mahavivo @mozhixu 自然，知识传播，逻辑/事实错误，伦理的悖谬等，不在这个范围内，它们是公益或者公害，出于智性正直，人人有责推广或者批判绞杀。
2011 Dec 24 01:49:44  @mozhixu 当然，实际情况是的确有人比别人聪明，更能认清形势，或者干脆就是痴长几岁多了些知识和生活经验，可在自由交流的逻辑里，那只会是平等对话，别人愿意听，那你就说，有人觉得你烦，你就shut up，只有来学，没有往教，自认高明要教育指导别人很sb，是一种专制的思维方式。
2011 Dec 24 01:39:28  @mozhixu 启蒙这个词本身就是反民主反自由，民主的前提假设是每个人都清楚自己的利益和诉求，于是自由表达，正当争取，谈不拢就表决用选票说话/决断，那么谁启蒙谁谁教育谁呢，谁给了你自认精英、自以为比当事人更清楚其利益和诉求的资格？
2011 Dec 21 17:42:36  @mozhixu 如果真的妥协，1、查处惩治警察系统内的逼供凶手，包括直接行凶者和负责主管，2、承认民选代表合法性，允其自治，且不通过其他手腕安插党组织和政府派出干部，3、归还被侵占土地，如果蚣党不崩盘，每一样都没什么退让的可能，特别一二两条。
2011 Dec 21 17:29:36  @mozhixu 不知道这些日他妈的傻逼在意淫啥，薛锦波都被殴打致死还不是秋后算账，如今做出些微妥协，不过是弥补已经干了的滔天罪恶而已。
2011 Dec 21 11:06:14  再次注册weibo账号：@vivo九十二世 http://t.co/bMHs7lgn
2011 Dec 21 10:57:10  @mozhixu 我的看法是信息时代不用把组织/联系看得太重，只要形势丕变，控制松动，迅速组织起来应该很容易，当然，事先就有一些现成的强联系群体会更好。
2011 Dec 21 10:43:54  @mozhixu 你提到的这些人（复转、下岗、民办教师、上访、宗教）我认为力量不够，而且他们大多的诉求是物质利益，而不是政治理念/价值，因此容易收买和镇压（只要财政允许），最根本的还是经济危机，以及到时候可以站出来引领政治/价值诉求的群体。
2011 Dec 21 10:25:25  @mozhixu @ptoq 乌坎抗争基本没有什么可复制性，海门、织里、古巷、新塘、海宁也只是预演，未来变革最可能的道路是升级版的89，或者说北非中东模式，中心城市、城市密集带街头聚集、游行示威，总罢工，罢学罢运罢市，群起响应、烽火四起，政府瘫痪，从而被迫改组。
2011 Dec 19 17:36:16  @mozhixu 此人纯属sb，实名制做死自己的蚂蚁社区，搞砸baidu的微博项目，不思更改，又开始看好新浪微博的实名，他绝对是可靠的反向指标。
2011 Dec 18 15:37:36  @mozhixu 这样才更能自证“清白”自证忠诚，当一条狗跟着主人转摇尾巴远远不够，还要能狠咬路人、小偷、“非法”冒犯者。
2011 Dec 18 15:29:49  @mozhixu 以绩效论政治/统治合法性是土蚣的论调，陈随声附和，不愧是党妈爱护的人，自由、政治民主等自身就是本源性基础性的价值，根本就不需要经济增长、生活改善、社会稳定、文化繁荣等（还是假的）来支撑论述，就是可以旁证，也是错误的思路。
2011 Dec 18 15:19:58  @mozhixu 呵呵，我批评的就是这个转发啊，哈维尔和米奇尼克放在中国这种残酷困境，能不能成为刘晓波都是问题，国人自己努力，不必借这些人狐假虎威装腔作势乃至满嘴胡柴贩卖私货，能把中国正在发生的事搞明白说清楚就已经是很了不起的知识分子、“思想家”。
2011 Dec 18 15:02:17  @mozhixu 哈维尔自然是全球了不起的道义领袖，可他的那些思想，就我粗略了解的而言，看不出对中国的现实反对政治有什么参考价值，崔卫平这些村妇倒是很喜欢把他（他们，比如甘地、马丁·路德·金、曼德拉、图图教主等）跟自己捆绑在一起给自己脸上贴金胡言乱语。
2011 Dec 18 14:52:14  @mozhixu 有必要这么吹捧抬高吗？当年蚣党一方面搞红色根据地，另一方面在国统区发展地下党，组织罢工罢学罢运罢市是不是更厉害，双重平行空间。
2011 Dec 18 08:56:38  @mazhengfei 笑鼠这个老傻逼老贱奴我如今放弃了狙击他，对他最残酷的惩罚就是愚昧到底，一次次被共党/被现实痛扇耳光。况且，真正在行动在做事的抗争/反对人士都自有主张，谁会在意这头猪猡在哼哼啥。
2011 Dec 16 11:26:15  @mozhixu 吓唬人而已，我相对比较乐观，认为会虎头蛇尾，跟绿坝一样无疾而终。如果他们确实实施了这些，反而是变天不远的逆向指标，说明烽烟四起，已经必须采取紧急状态控制。
2011 Dec 16 10:02:27  @paleylin 北京市政府门前游行示威，其他不是病根。
2011 Dec 14 14:48:47  @mozhixu 我记下的是所谓的全球平均警民比，中国要比这个低得多，以前也查过，180万上下。
2011 Dec 14 14:40:39  @mozhixu @kunlunfeng 好像是千分之五左右。
2011 Dec 14 14:38:06  @kunlunfeng 你这就扯远了，我只是在评论你的“清场说”，清场比较适合城市公共场所的聚集，用在农村不恰切，他们永远在场，有兴致了趁闲结队去骚扰政府机关或者大集团，很难对付，所以上海这边吴泾镇、虹桥机场天天在闹。
2011 Dec 14 14:18:19  @mozhixu 它还需要继续观察，即类似的侵权现象在当地是不是普遍而严重，除了龙头村，附近还有没有潜在高危感染群体，狼烟四起的话，那只有学邓屠夫狠下辣手。
2011 Dec 14 14:12:51  @mozhixu 乌坎真正可怕的地方在于他们有根据地（世代居住的村庄），而且非常团结，耗得起，像全民围攻冻尸骨，实际上是去挑战地头蛇，被他们杀得落花流水是自然之理，再强的人你没根，就步步艰难。
2011 Dec 14 14:06:52  @mozhixu 我认为没用，第一，抓人已经捅出很大麻烦，再抓进一步激化对抗情绪，第二，村里除了几个长者，老弱妇幼占绝大多数，实际上已经没啥人可抓，第三，除非长期严密封锁，在外务工的聪敏能干之士很快会替补上被抓的骨干精英。
2011 Dec 14 13:55:45  @kunlunfeng @mozhixu 你这说法很奇怪，上万人在世代居住地，房子、土地、工作/生产、生活都在这里，怎么清场，抓几十几百个领头的？他们能关多久，其他人就没法继续组织行动了吗？这样必然大量在外的“能人”回乡，更不可收拾。
2011 Dec 14 07:50:58  伊宁市人民政府：“淡化宗教意识，崇尚文明健康生活”宣传教育活动实施方案 http://t.co/Qk70gsSB
2011 Dec 14 06:58:54  《Scarborough Fair》歌词及诗经体译词 http://t.co/pz3YU1P2
2011 Dec 14 06:49:47  @mozhixu 水平差了点，早期网络上诗经体翻译的《Scarborough Fair》才是经典。
2011 Dec 14 06:47:57  @paleylin @mozhixu 呵呵，你这种转发不负责任，把我的原话删改得读不通。
2011 Dec 14 06:38:16  @mozhixu 呵呵，改良改革敛财方式他们积极性素来极高，这我觉得没必要担忧。问题还在于，房地产如果不继续高歌猛进，经济增长下滑会很快（房地产的关联产业、上游产业极深极广），如今外贸局势也不乐观，胡温捡了个大便宜，给习李留下的全是烂摊子。
2011 Dec 14 06:28:21  @mozhixu 抢地发展房地产，高额税费充实地方财政乃至推进GDP增长这种模式没有可持续性，房价不跌是政治问题，房价大跌也是政治问题（地方财政危机，金融风险等），只能维持现状微调，另觅良方，比如房产税，如存量下手。
2011 Dec 14 06:19:38  @mozhixu 世代居住在一起的上万村民抱团，比古巷、新塘、织里那样的骚乱难处理的多，小城市里，重兵戒严街道，露头就打，各个击破，就没法串联起来惹事，可乌坎是个大村庄，又不可能把他们迁走或者每家每户都像光诚那样拘限在家里，他们毕竟要生产生活，长期彻底外围封锁，则是重大人道危机。
2011 Dec 14 06:06:10  @mozhixu 耗着是个好办法，不进不退，进有碍观瞻，会激起更大反弹，退则示弱，到处效尤怎么办，于是把烫手山芋抛给下一任，反正再拖一半年没什么问题。
2011 Dec 14 06:02:35  @mozhixu 我以为这已经不是汪洋一个人管得了的事情，面瘫、影帝、儿康也在发愁，和谐十年就没出现过这种阵仗。
2011 Dec 14 05:58:10  @bandaoti123 网络最近有毛病，什么时候都很慢，所以暂时没注册。
2011 Dec 14 05:54:16  @mozhixu 呵呵，特警算公务员，比较牢靠，当然他们先上，武警、军人之类要退役，是人民子弟，党妈不放心。
2011 Dec 14 05:05:57  @XuPeiGermany 你真够搞笑，连“高论”这种挖苦讽刺用语都不懂？赵楚几次跳脚，都是因为被我骂，我怎么会附和他的观点？
2011 Dec 13 18:20:31  @mozhixu 当下的政治对抗/博弈如此险恶，没有信仰和道德/宗教存活空间的，最优策略只会是tit for tat，你宽恕了，对方却利用你的宽恕进一步作恶，又该怎么办，所以只能说是迂腐。
2011 Dec 13 18:05:24  @mozhixu 这个跳得太猛，背叛谈不上，可在处于劣势反击时，这种论调会消解士气和斗志，“血债血偿”更能激励人的勇气。
2011 Dec 13 17:57:24  @mozhixu我不知道你说的那些人什么批评法，不过我在weibo看到不少人（包括我自己）讥讽冉云飞，即使以一个受难者的身份谈宽恕，我也觉得矫情做作，是一种极度自我压抑以扮演宽宏大度形象的产物，仇比天高、爱比海深更正常更真实些。
2011 Dec 13 17:47:03  @mozhixu 太自以为是了吧，冉云飞要是不扯一通什么曼德拉、金大中，人家就不会那么想，而曼德拉、金大中等都是成就了一番伟大的集体/政治事业的，而不纯粹是个体的受难者。因此如果冉刘只表达个人立场的话，就不该代入这些人为自己贴金。
2011 Dec 13 17:16:20  @mozhixu 他不吞回去，也会越来越孤立和边缘化，因为不断激化的官民之战在更明显地证伪他的观点和理论，天天被抽耳光。
2011 Dec 13 17:14:49  @tufuwugan @liudimouse @doctor8888 只有舔菊派和爆菊派。
2011 Dec 13 16:58:48  @mozhixu 呵呵，你这是不允许人家改变想法了，可以觉察到，踢打了一阵后，他的表达有所软化，不像以前攻击抹黑那么明目张胆了。
2011 Dec 13 16:48:29  @mozhixu 我觉得你是在胡扯，你打他当然首先依据、照顾的是他的语境，他对词语的特别使用，把一些词典定义或者自己的理解附加上去，就会显得理解上有问题。
2011 Dec 13 16:31:37  @mozhixu 这种攻击手法不地道，他在长微博里说的独立，指的心灵、精神、思想云云，并不在逻辑或者语义上反对抗争策略/方式上的联合，笑蜀笨了些，表达不清楚，也没法抓住论敌的漏洞狠狠还击，不然，温云超和你也没好果子尝。
2011 Dec 13 16:13:17  weibo上的人也真无聊，伪造出【//@平安陆丰：薛锦波确实被我局打死滴，指甲是用老虎钳活生生的拔出来，你等屁民能奈我何？】的转发，然后猛骂，不少傻人还信以为真。
2011 Dec 13 16:01:58  @mozhixu 我的想法是跟着群众走，他们在哪里玩，我就扎根在哪里，当然，G+、推特、FB等等也有洞窟，以防万一。
2011 Dec 13 15:57:20  @mozhixu 墙外这样的孤岛，暂时增长潜力、容量有限，那就在墙内滚雪球般传染和扩大信息根据地，信息的溃烂和癌细胞，我认为是重要的，而且时间证明了是有效的，自己做垫脚石干体力活好了，逐步浸蚀，着急也没有用，窑洞党的命还长着呢。
2011 Dec 13 15:47:40  @mozhixu 不是这个问题，规模、气象这样的想法太个人主义，自以为是，我觉得在微博做个信息中继站就很好了，顺便发表点自己的看法，墙内必须挖一个堵不上的洞，如果我们都想干大事，做somebody，这些细微而重要的事谁去做？
2011 Dec 13 15:39:28  @mozhixu 哈哈，你这么喜欢自吹自擂啊，我一开始就知道，不过自杀式冲锋，就是要如此玩。
2011 Dec 13 15:21:12  艹，90世也一命呜呼。
2011 Dec 13 04:58:36  @赵楚 高论汇编（2011-12-13） http://t.co/76ZftYxg
2011 Dec 12 18:42:11  @赵楚 ：每到悲剧发生，当网络上公众很自然地表达关切和希望进行严肃的讨论时，最先出来搅局的不是所谓左派，不是小浪浪，也不是公开的公共安全专家们，而是推特上那些自由民主砖家。这件事太奇怪了，也太值得深思了。这些所谓反对派是些什么东西？
2011 Dec 12 18:29:39  推特革命党，如赵楚所言，你们良心大大地坏。
2011 Dec 12 18:28:07  @赵楚：这还是现在推特革命党的政策。这些人可以拿轮子的钱，可以拿台湾军情局的钱，他们所谓的民主自由，其实就是搞事，然后号令天下。
2011 Dec 12 18:27:47  @赵楚：很可笑可悲的一件事是，那些在推特上表达最激烈反对情绪的人，其行为模式与他们反对的执政党一摸一样：凡不能向他们低头的，都是最凶恶的敌人，而他们自己也想执政者躲在大院里一样，只躲在他们设定的议程和圈子里，除了虚假地向公众许天堂似的愿，对此外再热的鲜血也是无动于衷。
2011 Dec 12 05:55:04  @Akim-鸡精：被抓五位代表目前情况是一死四残 被打代表 嘴巴被打烂牙齿都没了 用钉子钉手指 什么酷行都用上了！惨不忍睹！
2011 Dec 12 05:07:19  @Akim-鸡精 ： 得知曾昭亮也在抢救 被抓去的时候都是好好的 为什么现在就要抢救？原因就是被政府殴打的！
2011 Dec 12 03:34:38  @张倩烨：【关注乌坎】村民消息：目前薛锦波遗体在海丰殡仪馆，村民看到薛身上多处被打到皮开肉绽，家属希望领回遗体遭到拒绝．目前村外大批警察集结，进出不便．村民正在开会，准备下午冲出乌坎，再次上访。
2011 Dec 10 16:36:46  @mozhixu 我看过他给夏俊峰写的辩护词，理性而又充满激情，印象深刻，他的总结大致翻了翻，还来不及细读。
2011 Dec 10 16:31:24  @mozhixu 高律师我也不怎么熟悉，看过几篇他的文章，打了鸡血一样很狗血，就没兴趣再读。
2011 Dec 10 16:28:44  @mozhixu 我以前关注社运、反对政治还没这么细，因此根本不知道有那么场争论，今天不知道怎么回事，一个跟了我转世几十次的foer跳出来非要我看丽丽的推特，承认浦志强是小丑，真TMD神经病。
2011 Dec 10 16:19:00  @mozhixu 出于一时意气，有些话说得过分我觉得也没啥，可绝不是傻X们所认为的那样故意抹黑构陷。
2011 Dec 10 16:13:46  @_ziyou2012 你妈的还跑到推特上骚扰我，傻X我已经大致看过了这些所谓的证据，没觉得那里在抹黑栽赃。我骂过的人里比浦志强名气大的比比皆是，岂会像你这个猪脑乱喷的那样趋炎附势，我不过主张智性的正直，公允准确地评价一个人而已。斩。
2011 Dec 10 16:01:38  @lihlii 人品跟智商是两个概念好不好，人品可信的人不见得有判断力，能明辨是非，常常会好心做错事，拜托不要用这么低级的问题来质疑我。
2011 Dec 10 15:56:19  @mozhixu http://t.co/PB9aK9WO 这里有不少浦志强的发言，可我理解为是观点分歧，而不是抹黑栽赃、幸灾乐祸，weibo有人跟我纠缠，说浦是小丑，被我臭骂了一顿。
2011 Dec 09 06:52:21  @mozhixu 嗯，这我倒没留心，只注意到小撮讥讽了几句。
2011 Dec 09 06:48:50  @mozhixu 我才懒得认真研究他这类垃圾，顺便扯扯罢了。
2011 Dec 09 06:46:59  @mozhixu @wenyunchao 你狭义化理解消费这个词了，它既可以指钱财，也可以指名气，还可以指为了“革命”大业把光诚当工具用，第三类你和北风就难以逃脱，当然，我认为这种说法不成立，可不妨碍笑蜀这么想。
2011 Dec 09 06:43:27  @mozhixu 最关键的是他主要攻击的是那些近期内口诛笔伐过他的人，因为他的脑子不清，运转不灵，胡乱命名很有可能，比如把你我、北风、屠夫、叶隐都归为一类。
2011 Dec 09 06:38:45  @mozhixu 你这样的辩护不大成立，这个词的语义重点在政客，去冲撞了只是一些（受了蛊惑的）具体执行者、行动者，但未必可以算政客，因为不少人是出于同情、义愤、担当等才去的很普通甚至从没听说的民众，（江湖）政客就意味着你要在反对、抗议政治中具有一定的“地位”、影响力才行。
2011 Dec 09 06:27:06  @mozhixu 你这无法解释他自己在微博也为刘萍、沙沙等呼吁，除非给他加条罪状，他两面三刀，人话鬼话，资深伪人。
2011 Dec 09 06:19:16  @mozhixu 你这种说法就是在诛心了，我认为他说的江湖政客，也许指你、北风、屠夫、叶隐这些，甚至也包括我，而不是指刘萍、沙沙他们，但之所以造成现在的普遍责难，首先在于笑鼠的猥琐，不敢或者不愿点名批评，于是谁都可以拿这个来嘲讽他。
2011 Dec 08 23:54:58  @awfan 我是改hosts上的推特，mobile打不开，最关键的是从视觉习惯上说，最重要的内容应该在页面的左上角，报纸的头版头条之谓也，可改版成这样，左上角都是些固定不变的格式化内容，所以是败笔。
2011 Dec 08 23:44:48  推特改版越改越烂，竟然把内容页面设在右边。
2011 Dec 08 09:37:18  @ying_lang 我不熟悉他。
2011 Dec 08 09:32:53  @lihlii @paleylin 萧瀚的主要问题还不是乡愿，而是无知、愚蠢和傲慢，就像我前面说的，他的智商撑不起他的高姿态。
2011 Dec 08 09:28:46  我看在他尚有几分可取的份上，就没痛下杀手斥责过，只是有些不堪入目的言论推到我面前，实在忍不住反驳几句，骂两下，要是专门攻伐，他也只能选择躲在龟壳里装死。 @paleylin
2011 Dec 08 09:16:28  @paleylin 你要观点/论证啊，那你是想要我像蹂躏笑鼠一样蹂躏几次萧瀚？
2011 Dec 08 08:43:23  @paleylin 这些MC和我的十三篇已经论述很详细了。
2011 Dec 08 08:41:59  @paleylin 再说，在买菜刀都要实名的情况下，根本就不可能发生组织化的武装暴动（除非政变、宫廷内斗），哪里来他这个sb所想象的血肉模糊的暴力革命，最可能的道路就是89运动升级版或者说北非中东模式，当然，其时流血牺牲也许难免，可我们现在不是天天在流血牺牲。
2011 Dec 08 08:34:36  @paleylin 他这个蠢人中毛毒太深，以为革命就是法国大革命，苏联革命，窑洞蚣匪革命，全然看不见更多更优良的革命模式，就连当下发生在北非中东的革命也置若罔闻，查尔斯·蒂利、林茨等的书他估计一本都没翻过。
2011 Dec 08 08:12:29  @paleylin 即使当今风雨如晦，镇压日益严厉，持渐进改良论调的公知比比皆是，可为什么对笑蜀这个sb群起而攻之？是因为他贱，踩别人（比他更聪明更有道德更有勇气的人）来抬高自己没有任何现实性、 实践性的空想，说谎，诬陷，卑劣之极。
2011 Dec 08 08:05:21  @paleylin 醒悟个P，这些天那么多人批评他，他依然贱性不改，字里行间曲里拐弯抹黑构陷，他父母能生出这样的孽子就该骂。
2011 Dec 08 04:04:43  @mozhixu @wenyunchao 哈哈，我对笑蜀可没有情面可留。
